c	c	c	c	c	c	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0   0
c	c	c	c	c	c	0	1	1	1	m	m	m	m	1	1	1	0	w	w	w	w	w	w
c	c	c	c	c	c	1	1	m	m	m	m	mm	m	m	m	1	1	w	w	w	w	w	w
c	c	c	c	c	c	1	1	m	m	m	m	m	m	m	m	1	1	w	w	w	w	w	w
c	c	c	c	c	c	1	1	m	m	m	m	m	m	m	m	1	1	w	w	w	w	w	w
c	c	c	c	c	c	1	p	m	m	m	m	m	m	m	m	p	1	p	w	w	w	w	0
0	c	c	c	c	c	1	1	m	m	m	m	m	m	m	m	1	1	1	1	1	1	1	1
1	1	1	1	p	1	1	1	m	m	m	m	m	m	m	m	1	1	1	1	1	1	1	0
0	1	1	1	1	1	1	1	1	p	1	1	1	1	p	1	1	1	g	g	g	g	g	g
j	j	j	j	j	1	1	1	1	1	1	1	1	1	1	1	1	p	g	g	g	g	g	g
j	j	j	j	j	j	j	j	1	1	d	d	d	d	d	1	1	1	g	g	g	g	g	g
j	j	j	j	j	j	j	j	1	1	d	d	d	d	d	1	1	1	g	g	g	g	g	g
j	j	j	j	j	j	j	j	p	1	d	d	d	d	d	1	1	1	g	g	g	g	g	g
j	j	j	j	j	j	j	j	1	1	d	d	d	d	d	1	1	1	1	1	p	1	p	0
j	j	j	j	j	j	j	j	1	1	d	d	d	d	d	1	1	1	b	b	b	b	b	0
j	j	j	j	j	j	j	j	1	1	d	d	d	d	d	1	1	b	b	b	b	b	b	b
0	1	1	1	1	1	p	1	1	1	d	d	d	d	d	1	p	b	b	b	b	b	b	b
1	1	1	1	1	1	1	1	1	1	1	p	p	1	1	1	1	b	b	b	b	b	b	b
0	1	1	1	1	1	p	1	1	e	e	e	e	e	e	1	1	1	b	b	b	b	b	0
l	l	l	l	l	l	l	1	1	e	e	e	e	e	e	1	1	1	1	1	1	1	1	1
l	l	l	l	l	l	l	1	1	e	e	e	e	e	e	p	1	1	1	1	1	1	1	0
l	l	l	l	l	l	l	1	1	e	e	e	e	e	e	1	1	o	o	o	o	o	o	o
l	l	l	l	l	l	l	1	1	e	e	e	e	e	e	1	1	o	o	o	o	o	o	o
l	l	l	l	l	l	l	1	1	e	e	e	e	e	e	1	1	o	o	o	o	o	o	o
l	l	l	l	l	l	0	1	0	0	e	e	e	e	0	0	1	0	o	o	o	o	o	o
